,id,symbol,name,date,current_price,total_volume
0,loopring,lrc,Loopring,2020-01-01,0.02160676303440775,2169076.0802333946
0,loopring,lrc,Loopring,2020-01-02,0.022088968845346658,1452393.0811338574
0,loopring,lrc,Loopring,2020-01-03,0.021845995920331648,1481890.3607869055
0,loopring,lrc,Loopring,2020-01-04,0.02219686373891546,1396221.1887565928
0,loopring,lrc,Loopring,2020-01-05,0.021890714240289884,1362282.098981827
0,loopring,lrc,Loopring,2020-01-06,0.021932878105394803,1091157.5156662758
0,loopring,lrc,Loopring,2020-01-07,0.02232492992935436,1281270.7451663765
0,loopring,lrc,Loopring,2020-01-08,0.022160657195543117,1672438.6706274464
0,loopring,lrc,Loopring,2020-01-09,0.02158811088282531,1539461.598831355
0,loopring,lrc,Loopring,2020-01-10,0.021991176590279125,1438415.49763588
0,loopring,lrc,Loopring,2020-01-11,0.02345137451971508,2202455.8257503505
0,loopring,lrc,Loopring,2020-01-12,0.022404167835776867,1590455.6831057775
0,loopring,lrc,Loopring,2020-01-13,0.0236157992674444,2169919.2879349813
0,loopring,lrc,Loopring,2020-01-14,0.022800950198161123,1359874.5004586151
0,loopring,lrc,Loopring,2020-01-15,0.024509590074969893,2049239.2691693453
0,loopring,lrc,Loopring,2020-01-16,0.024529646744518924,1669408.9677603515
0,loopring,lrc,Loopring,2020-01-17,0.02383093178039372,2034774.8842329765
0,loopring,lrc,Loopring,2020-01-18,0.025131606748333975,2800161.6835085102
0,loopring,lrc,Loopring,2020-01-19,0.025913292374634567,2037660.379013302
0,loopring,lrc,Loopring,2020-01-20,0.025628999286259706,2572047.3019739185
0,loopring,lrc,Loopring,2020-01-21,0.02529479102885018,1771641.0900957254
0,loopring,lrc,Loopring,2020-01-22,0.02553441967900899,1542493.7866550393
0,loopring,lrc,Loopring,2020-01-23,0.025418760755884083,1512974.569983238
0,loopring,lrc,Loopring,2020-01-24,0.02419038631438483,1589235.8623001925
0,loopring,lrc,Loopring,2020-01-25,0.024028525877082076,1601032.9254398444
0,loopring,lrc,Loopring,2020-01-26,0.024740105569468648,1417933.0907560666
0,loopring,lrc,Loopring,2020-01-27,0.02558226788743137,1383267.8189007577
0,loopring,lrc,Loopring,2020-01-28,0.02503799466860338,1860422.463569639
0,loopring,lrc,Loopring,2020-01-29,0.027615892401309065,1973099.9642386413
0,loopring,lrc,Loopring,2020-01-30,0.027700411573478318,1942572.9092730125
0,loopring,lrc,Loopring,2020-01-31,0.028805135060366922,2206088.482958839
0,loopring,lrc,Loopring,2020-02-01,0.028568743929691998,1802345.8475271384
0,loopring,lrc,Loopring,2020-02-02,0.029012069922781752,1810843.0511539637
0,loopring,lrc,Loopring,2020-02-03,0.0296149638153921,2063263.1571154022
0,loopring,lrc,Loopring,2020-02-04,0.029877590846041094,1925811.3194654193
0,loopring,lrc,Loopring,2020-02-05,0.03170538467157434,2196835.5534229465
0,loopring,lrc,Loopring,2020-02-06,0.03241017380737616,2091969.7614708915
0,loopring,lrc,Loopring,2020-02-07,0.034213606945897444,4068924.3432058427
0,loopring,lrc,Loopring,2020-02-08,0.03736651056792686,3141566.4730149927
0,loopring,lrc,Loopring,2020-02-09,0.036320591729530755,3303486.7834467376
0,loopring,lrc,Loopring,2020-02-10,0.038180045648884296,2755119.490729995
0,loopring,lrc,Loopring,2020-02-11,0.0385984063398548,3080424.0142754293
0,loopring,lrc,Loopring,2020-02-12,0.03974259006855653,2542941.042965735
0,loopring,lrc,Loopring,2020-02-13,0.04296837527079778,3438993.5287419725
0,loopring,lrc,Loopring,2020-02-14,0.0420889674702714,4002281.7533820705
0,loopring,lrc,Loopring,2020-02-15,0.04320542968091417,3625072.041395571
0,loopring,lrc,Loopring,2020-02-16,0.04390499059201695,11888634.572743002
0,loopring,lrc,Loopring,2020-02-17,0.03869195254715421,5737670.762254938
0,loopring,lrc,Loopring,2020-02-18,0.03681331907879743,3482170.856437463
0,loopring,lrc,Loopring,2020-02-19,0.0409871153983331,3007637.0592112686
0,loopring,lrc,Loopring,2020-02-20,0.0385511910301322,2928055.4710644064
0,loopring,lrc,Loopring,2020-02-21,0.03775816902684183,5966499.771921243
0,loopring,lrc,Loopring,2020-02-22,0.045601992177201595,9544086.982877009
0,loopring,lrc,Loopring,2020-02-23,0.04468478136387599,7877585.666017402
0,loopring,lrc,Loopring,2020-02-24,0.04839272379328689,5596205.611781482
0,loopring,lrc,Loopring,2020-02-25,0.04459679949076559,3569843.851412355
0,loopring,lrc,Loopring,2020-02-26,0.0405029760331132,3487893.878031105
0,loopring,lrc,Loopring,2020-02-27,0.035471739947139994,3138727.753574087
0,loopring,lrc,Loopring,2020-02-28,0.03758607080007114,2510651.523447911
0,loopring,lrc,Loopring,2020-02-29,0.043046917379731445,4400730.958124128
0,loopring,lrc,Loopring,2020-03-01,0.04051608303967909,2601267.0476135234
0,loopring,lrc,Loopring,2020-03-02,0.03700383125424162,2256962.6953887334
0,loopring,lrc,Loopring,2020-03-03,0.04071298747919358,2403667.023999992
0,loopring,lrc,Loopring,2020-03-04,0.040467833892806275,1974581.0758571122
0,loopring,lrc,Loopring,2020-03-05,0.040493475634665356,1068784.1520912955
0,loopring,lrc,Loopring,2020-03-06,0.04518259690128933,5110464.344449238
0,loopring,lrc,Loopring,2020-03-07,0.048289184036885986,3543334.5770355943
0,loopring,lrc,Loopring,2020-03-08,0.04674159654859585,5495763.35383165
0,loopring,lrc,Loopring,2020-03-09,0.040301384801678095,3364218.003260635
0,loopring,lrc,Loopring,2020-03-10,0.04272799674734038,4699725.633694403
