,id,symbol,name,date,current_price,total_volume
0,theta-token,theta,Theta Network,2020-01-01,0.08718991313485797,2077667.215872637
0,theta-token,theta,Theta Network,2020-01-02,0.08652884314619436,934011.3989982439
0,theta-token,theta,Theta Network,2020-01-03,0.08472355648652793,1474893.2079151426
0,theta-token,theta,Theta Network,2020-01-04,0.08695408233031077,1557136.7626295758
0,theta-token,theta,Theta Network,2020-01-05,0.09289399441126651,2920523.073267491
0,theta-token,theta,Theta Network,2020-01-06,0.09375574589014977,2738636.9387852047
0,theta-token,theta,Theta Network,2020-01-07,0.0986229967512728,4521278.4567905925
0,theta-token,theta,Theta Network,2020-01-08,0.09571117769286705,4363876.823218745
0,theta-token,theta,Theta Network,2020-01-09,0.0972283519892784,2902375.160645819
0,theta-token,theta,Theta Network,2020-01-10,0.09234158110875935,2819566.417418925
0,theta-token,theta,Theta Network,2020-01-11,0.09482868587040294,2085858.8009669208
0,theta-token,theta,Theta Network,2020-01-12,0.09336665340605106,2214673.353550007
0,theta-token,theta,Theta Network,2020-01-13,0.09469460968450143,1480588.2125297748
0,theta-token,theta,Theta Network,2020-01-14,0.09635557782591953,3383369.2487696568
0,theta-token,theta,Theta Network,2020-01-15,0.10389279384167703,5048151.800586167
0,theta-token,theta,Theta Network,2020-01-16,0.10329558859297583,4062820.09767751
0,theta-token,theta,Theta Network,2020-01-17,0.1012550108891892,3061793.7701261127
0,theta-token,theta,Theta Network,2020-01-18,0.10871906637832734,3704026.7096961695
0,theta-token,theta,Theta Network,2020-01-19,0.10777341864132653,3696537.722795587
0,theta-token,theta,Theta Network,2020-01-20,0.11041911074805749,5048314.507664724
0,theta-token,theta,Theta Network,2020-01-21,0.10915837025414872,4644037.815055857
0,theta-token,theta,Theta Network,2020-01-22,0.11028068790330747,4731075.789647843
0,theta-token,theta,Theta Network,2020-01-23,0.11698019068613091,6260249.238714666
0,theta-token,theta,Theta Network,2020-01-24,0.1095199128848524,3721244.578374296
0,theta-token,theta,Theta Network,2020-01-25,0.10473065260086004,3568878.631707019
0,theta-token,theta,Theta Network,2020-01-26,0.10171827003316179,1769645.074897044
0,theta-token,theta,Theta Network,2020-01-27,0.10244409976972446,2852083.645565466
0,theta-token,theta,Theta Network,2020-01-28,0.10218326812701324,3099298.366163592
0,theta-token,theta,Theta Network,2020-01-29,0.10654619933591634,4031635.8166770893
0,theta-token,theta,Theta Network,2020-01-30,0.10385733721047666,4013559.245015613
0,theta-token,theta,Theta Network,2020-01-31,0.10299662159791287,3470533.936493069
0,theta-token,theta,Theta Network,2020-02-01,0.10338520939351387,3178819.741995888
0,theta-token,theta,Theta Network,2020-02-02,0.10396924949039178,2640675.284048376
0,theta-token,theta,Theta Network,2020-02-03,0.10460768051916826,2985017.156464494
0,theta-token,theta,Theta Network,2020-02-04,0.10727528160270253,4717685.23123627
0,theta-token,theta,Theta Network,2020-02-05,0.12181155620134906,12648192.875696955
