,id,symbol,name,date,current_price,total_volume
0,eos,eos,EOS,2020-01-01,2.5862022964934064,1661858587.1119199
0,eos,eos,EOS,2020-01-02,2.6004706637487485,1368169088.79215
0,eos,eos,EOS,2020-01-03,2.456836953929064,1660726191.8590138
0,eos,eos,EOS,2020-01-04,2.6308675862520983,2206333841.3131757
0,eos,eos,EOS,2020-01-05,2.6481799765568366,1590076349.861064
0,eos,eos,EOS,2020-01-06,2.679718734056839,2027972091.2297575
0,eos,eos,EOS,2020-01-07,2.852109097050814,2308238237.893287
0,eos,eos,EOS,2020-01-08,2.848450852754285,2712337699.5191393
0,eos,eos,EOS,2020-01-09,2.7673708350188018,2583307045.4156404
0,eos,eos,EOS,2020-01-10,2.7487341677895136,2068346287.4433954
0,eos,eos,EOS,2020-01-11,2.983655452733491,2918731819.2319984
0,eos,eos,EOS,2020-01-12,2.981535147626022,3033991563.3494816
0,eos,eos,EOS,2020-01-13,3.192714753250147,2807912929.1391983
0,eos,eos,EOS,2020-01-14,3.1038369228316753,2437099360.1756616
0,eos,eos,EOS,2020-01-15,3.8294889871484674,5606579364.254958
0,eos,eos,EOS,2020-01-16,3.7568697618463593,5207627605.424582
0,eos,eos,EOS,2020-01-17,3.8320964337626533,4128932615.932686
0,eos,eos,EOS,2020-01-18,3.9197565284930493,5266702889.376882
0,eos,eos,EOS,2020-01-19,3.80142224982976,4014383997.7941184
0,eos,eos,EOS,2020-01-20,3.5990755219134507,3719492014.1273055
0,eos,eos,EOS,2020-01-21,3.606389765832037,2682045332.531152
0,eos,eos,EOS,2020-01-22,3.64843949904571,2055352446.8860927
0,eos,eos,EOS,2020-01-23,3.6437187037879997,2526134373.0961466
0,eos,eos,EOS,2020-01-24,3.5637985698194057,2774488091.022022
0,eos,eos,EOS,2020-01-25,3.6292030476105652,3025518269.0666003
0,eos,eos,EOS,2020-01-26,3.546838589990352,2065527992.8126185
0,eos,eos,EOS,2020-01-27,3.6413884144263924,2466109905.2248616
0,eos,eos,EOS,2020-01-28,3.9517724744129397,3530619176.292109
0,eos,eos,EOS,2020-01-29,4.039134097390582,3806171631.280113
0,eos,eos,EOS,2020-01-30,3.969199349620531,3764033799.9314666
0,eos,eos,EOS,2020-01-31,4.3392602831577145,4369626643.370916
0,eos,eos,EOS,2020-02-01,4.10448627921234,3529806389.6792755
0,eos,eos,EOS,2020-02-02,4.144673163855886,2791249790.140792
0,eos,eos,EOS,2020-02-03,4.214092624918393,3180172175.260159
0,eos,eos,EOS,2020-02-04,4.205580773550409,3227743252.0489235
0,eos,eos,EOS,2020-02-05,4.232524317133758,2722522497.990464
0,eos,eos,EOS,2020-02-06,4.512566979033094,3541991914.070858
0,eos,eos,EOS,2020-02-07,4.581083041121616,3765503339.0818467
0,eos,eos,EOS,2020-02-08,4.59729338365753,3359009308.71894
0,eos,eos,EOS,2020-02-09,4.76707763571491,3626432901.759942
0,eos,eos,EOS,2020-02-10,4.989145801902754,4267772282.64642
0,eos,eos,EOS,2020-02-11,4.915589464161716,4429168800.721671
0,eos,eos,EOS,2020-02-12,5.259641164378494,4238287374.546814
0,eos,eos,EOS,2020-02-13,5.324128639327821,5433109353.719409
0,eos,eos,EOS,2020-02-14,5.336137604208327,6082602658.013859
0,eos,eos,EOS,2020-02-15,5.354228298338304,4504756825.408112
0,eos,eos,EOS,2020-02-16,4.723465851838619,5481169054.666597
0,eos,eos,EOS,2020-02-17,4.404072224043959,6015975280.1652565
0,eos,eos,EOS,2020-02-18,4.358998107563293,6439267711.384268
0,eos,eos,EOS,2020-02-19,4.574198852074192,4122057151.6566496
0,eos,eos,EOS,2020-02-20,3.975363882930504,3700849958.37257
0,eos,eos,EOS,2020-02-21,3.9931425962253795,5517461547.227146
0,eos,eos,EOS,2020-02-22,4.05216086251823,3766024423.299167
0,eos,eos,EOS,2020-02-23,4.09397107840006,2763561991.7947946
0,eos,eos,EOS,2020-02-24,4.377998051555368,3424661692.499422
0,eos,eos,EOS,2020-02-25,4.1288391270292015,4039410133.018162
0,eos,eos,EOS,2020-02-26,4.085947412215695,5014892416.311832
0,eos,eos,EOS,2020-02-27,3.5363417859669704,4574355178.762268
0,eos,eos,EOS,2020-02-28,3.5744913572260324,4632048272.292319
0,eos,eos,EOS,2020-02-29,3.5159004182990548,3508358443.3954268
0,eos,eos,EOS,2020-03-01,3.516966338023179,2920390476.7445083
0,eos,eos,EOS,2020-03-02,3.525103819117805,3452297944.7527328
0,eos,eos,EOS,2020-03-03,3.6946424906946738,3605835065.4779058
0,eos,eos,EOS,2020-03-04,3.6309391893188354,4184095562.1029434
0,eos,eos,EOS,2020-03-05,3.592350290979195,2320072148.2489004
0,eos,eos,EOS,2020-03-06,3.7316125815650754,2931448803.2174144
0,eos,eos,EOS,2020-03-07,3.825852345501278,2615700678.574288
0,eos,eos,EOS,2020-03-08,3.643459103397949,2381041668.9030423
0,eos,eos,EOS,2020-03-09,3.0388979853578753,3241649306.924522
0,eos,eos,EOS,2020-03-10,3.048990810118241,4404623097.635754
0,eos,eos,EOS,2020-03-11,3.0673692381105697,2833501444.4080963
0,eos,eos,EOS,2020-03-12,3.0739085323634905,2792004752.073655
0,eos,eos,EOS,2020-03-13,1.8855854011074007,4720852491.753216
0,eos,eos,EOS,2020-03-14,2.0925570374460487,7418732492.021927
0,eos,eos,EOS,2020-03-15,1.953430581752024,2951166492.6801014
0,eos,eos,EOS,2020-03-16,2.0574098871324167,2371978699.4060884
0,eos,eos,EOS,2020-03-17,1.8845666271978554,3069384427.0477176
0,eos,eos,EOS,2020-03-18,1.9899719069762813,2031545884.9724836
0,eos,eos,EOS,2020-03-19,1.9935630735370025,2328904913.728537
0,eos,eos,EOS,2020-03-20,2.2812115964671995,3041970369.1701655
0,eos,eos,EOS,2020-03-21,2.194895643538718,3392447326.6713996
0,eos,eos,EOS,2020-03-22,2.261780971235987,2654643128.5827904
0,eos,eos,EOS,2020-03-23,2.137672406934855,2365423168.4756083
0,eos,eos,EOS,2020-03-24,2.2891959197380833,2425483683.5113764
0,eos,eos,EOS,2020-03-25,2.350405003270226,2224363281.818757
0,eos,eos,EOS,2020-03-26,2.296888922171604,2064481542.0741866
0,eos,eos,EOS,2020-03-27,2.3307226538712316,2087186502.4066613
0,eos,eos,EOS,2020-03-28,2.208529098931716,1719921076.4989
0,eos,eos,EOS,2020-03-29,2.207207038324224,2529760534.3623753
0,eos,eos,EOS,2020-03-30,2.119130857880545,1536393214.4290915
0,eos,eos,EOS,2020-03-31,2.2293960658607404,2262985066.6187487
0,eos,eos,EOS,2020-04-01,2.218440648328787,2257848364.60393
0,eos,eos,EOS,2020-04-02,2.2648521203632295,2524132153.5064144
0,eos,eos,EOS,2020-04-03,2.29908356311839,2760090625.9590507
0,eos,eos,EOS,2020-04-04,2.3303936037782567,2331660711.891817
0,eos,eos,EOS,2020-04-05,2.358557679403377,2080601827.3365688
0,eos,eos,EOS,2020-04-06,2.3553640502551656,2165128231.881633
0,eos,eos,EOS,2020-04-07,2.751985771787181,3467004981.410157
0,eos,eos,EOS,2020-04-08,2.6314372273526447,3379469161.320121
0,eos,eos,EOS,2020-04-09,2.742883935573627,3003851287.042089
0,eos,eos,EOS,2020-04-10,2.7299256103067364,2496551805.43492
0,eos,eos,EOS,2020-04-11,2.4924188122811257,3005116048.5644627
0,eos,eos,EOS,2020-04-12,2.505891621276864,2426430519.0485225
0,eos,eos,EOS,2020-04-13,2.5035874920888075,2503884599.0045915
0,eos,eos,EOS,2020-04-14,2.446720124681611,2862926306.112094
0,eos,eos,EOS,2020-04-15,2.4617101246229804,2387403551.703261
0,eos,eos,EOS,2020-04-16,2.404511069776799,2210889054.5786233
0,eos,eos,EOS,2020-04-17,2.645549601557661,3464455813.31122
0,eos,eos,EOS,2020-04-18,2.616058918760798,2895033863.8244143
0,eos,eos,EOS,2020-04-19,2.726636034165594,2672937109.4918976
0,eos,eos,EOS,2020-04-20,2.597020023741227,2903911889.3404293
0,eos,eos,EOS,2020-04-21,2.5102555350668303,3533573557.475821
0,eos,eos,EOS,2020-04-22,2.518154622510988,2569024530.6571236
0,eos,eos,EOS,2020-04-23,2.6189002586679817,2211393518.022094
0,eos,eos,EOS,2020-04-24,2.647254469187442,2964083001.4494348
0,eos,eos,EOS,2020-04-25,2.704444145338768,2503610328.479399
0,eos,eos,EOS,2020-04-26,2.7061101209461254,3118830182.8987713
0,eos,eos,EOS,2020-04-27,2.7402458364571283,2898405008.9006677
0,eos,eos,EOS,2020-04-28,2.7421909640225737,3365672111.7180586
0,eos,eos,EOS,2020-04-29,2.770403862044934,2922469289.903948
0,eos,eos,EOS,2020-04-30,3.0000038829866815,4823278331.844948
0,eos,eos,EOS,2020-05-01,2.824261921493174,4559975140.879664
0,eos,eos,EOS,2020-05-02,2.869307161060822,2921186128.3297567
0,eos,eos,EOS,2020-05-03,2.935862929543382,2752524798.627334
0,eos,eos,EOS,2020-05-04,2.8371232382838656,3369313674.948616
0,eos,eos,EOS,2020-05-05,2.7751999609006983,3462078936.8940797
0,eos,eos,EOS,2020-05-06,2.764896832322435,3131867295.314182
0,eos,eos,EOS,2020-05-07,2.6968244781586246,3297276933.1077986
0,eos,eos,EOS,2020-05-08,2.756270015851891,4100448272.6882443
0,eos,eos,EOS,2020-05-09,2.756418767760703,3597898530.4906464
0,eos,eos,EOS,2020-05-10,2.7545988887466497,3448218623.679161
0,eos,eos,EOS,2020-05-11,2.450372117211878,4307764339.100238
0,eos,eos,EOS,2020-05-12,2.402106606872824,3397676338.185414
0,eos,eos,EOS,2020-05-13,2.4350963473150906,2400509204.018642
0,eos,eos,EOS,2020-05-14,2.5237050739285287,2280580531.4206395
0,eos,eos,EOS,2020-05-15,2.621333539669418,3051249793.524859
0,eos,eos,EOS,2020-05-16,2.58119647469638,2976820185.7112284
0,eos,eos,EOS,2020-05-17,2.6330231358427687,2676059509.0895195
0,eos,eos,EOS,2020-05-18,2.6181185989103795,2580765547.668794
0,eos,eos,EOS,2020-05-19,2.659720159160186,2698989257.6060057
0,eos,eos,EOS,2020-05-20,2.644626196231764,2211036053.2744956
0,eos,eos,EOS,2020-05-21,2.595643629536446,2369059290.298017
0,eos,eos,EOS,2020-05-22,2.4597317816529958,2403553527.482105
0,eos,eos,EOS,2020-05-23,2.5557703827070903,2196244273.067968
0,eos,eos,EOS,2020-05-24,2.562668885845421,1877465802.4259462
0,eos,eos,EOS,2020-05-25,2.4950118768396043,2039004444.488473
0,eos,eos,EOS,2020-05-26,2.5269085768819446,1639886331.1700435
0,eos,eos,EOS,2020-05-27,2.502767855684603,1612015818.1432426
0,eos,eos,EOS,2020-05-28,2.5667866588100883,1598854321.7501216
0,eos,eos,EOS,2020-05-29,2.613069173574523,1729348236.0104113
0,eos,eos,EOS,2020-05-30,2.6140731962451347,1825061685.593859
0,eos,eos,EOS,2020-05-31,2.7681401290266936,2101509756.4145916
0,eos,eos,EOS,2020-06-01,2.6767782797529796,2130027541.8282528
0,eos,eos,EOS,2020-06-02,2.816153236599722,2238049707.7949967
0,eos,eos,EOS,2020-06-03,2.6696315389540755,2761251216.0207105
0,eos,eos,EOS,2020-06-04,2.6945408497469194,1686815849.7741084
